order,type,document_number,parcel_number,sub_district_no,location_id,rai,ngan,tarang_wa,usage_agriculture,usage_living,usage_other,usage_none,usage_misc
5358,โฉนด,7966,2104,2240,06D057,0,1,19.5,,119.5,,,
5359,โฉนด,98743,37,4954,06D057/001,0,0,23.8,,23.8,,,
5360,โฉนด,7965,2100,2239,06D058,0,1,79.3,,,179.3,,
5361,โฉนด,7964,2099,2238,06D059,0,0,89.7,,,89.7,,
5362,โฉนด,29436,2098,3619,06D059/001,0,0,88.4,,,88.4,,
5363,โฉนด,8078,1522,2310,06D060,0,2,33.5,,,,233.5,
5364,โฉนด,8077,1521,2309,06D061,0,1,44.6,,,144.6,,
5365,โฉนด,8076,1520,2308,06D062,0,1,30.1,,,130.1,,
5366,โฉนด,8075,1258,2307,06D063,0,2,38.2,,,238.2,,
5367,โฉนด,8074,1523,2306,06D064,0,1,43.3,,143.3,,,
5368,โฉนด,8073,1524,2305,06D065,0,1,43.2,,143.2,,,
5369,โฉนด,7963,1519,2237,06D066,0,1,57.1,,,,157.1,
5370,โฉนด,7961,1518,2235,06D068,0,1,61,,,,161,
5371,โฉนด,7960,1517,2234,06D069,0,1,43.9,,,143.9,,
5372,โฉนด,7959,1515,2233,06D070,0,2,88.8,,,288.8,,
5373,โฉนด,82333,23,4654,06D070/001,0,0,24,,,,24,
5374,โฉนด,82332,22,4653,06D070/002,0,0,24,,,,24,
5375,โฉนด,82331,21,4652,06D070/003,0,0,24,,,,24,
5376,โฉนด,82330,20,4651,06D070/004,0,0,24,,,,24,
5377,โฉนด,82337,27,4658,06D070/005,0,0,24,,,,24,
5378,โฉนด,82336,26,4657,06D070/006,0,0,24,,,,24,
5379,โฉนด,82335,25,4656,06D070/007,0,0,24,,,,24,
5380,โฉนด,82334,24,4655,06D070/008,0,0,24,,,,24,
5381,โฉนด,7958,1514,2232,06D071,0,0,96.1,,,,96.1,
5382,โฉนด,124879,2775,5324,06D071/001,0,0,96.1,,,,96.1,
5383,โฉนด,124880,2776,5325,06D071/002,0,0,96,,,,96,
5384,โฉนด,124881,2777,5326,06D071/003,0,0,48,,,,48,
5385,โฉนด,124878,2753,5323,06D071/004,0,0,96,,96,,,
5386,โฉนด,124877,2752,5322,06D071/005,0,0,48,,48,,,
5387,โฉนด,7957,2107,2231,06D072,0,0,45.7,,45.7,,,
5388,โฉนด,124849,2742,5312,06D072/001,0,0,45.4,,,,45.4,
5389,โฉนด,124850,2743,5313,06D072/002,0,0,96.1,,,96.1,,
5390,โฉนด,124851,2744,5314,06D072/003,0,0,96.2,,,96.2,,
5391,โฉนด,124853,2746,5316,06D072/004,0,0,96,,,96,,
5392,โฉนด,124852,2745,5315,06D072/005,0,0,96,,,96,,
5393,โฉนด,7956,2110,2230,06D073,0,2,39.7,,239.7,,,
5394,โฉนด,10831,2108,2468,06D074,0,1,20,,120,,,
5395,โฉนด,10830,2109,2467,06D075,0,1,19.6,,,119.6,,
5396,โฉนด,7955,2111,2229,06D076,0,0,24.2,,,24.2,,
5397,โฉนด,60050,2114,4032,06D076/001,0,0,24,,24,,,
5398,โฉนด,60049,2115,4031,06D076/002,0,0,23.7,,,23.7,,
5399,โฉนด,60048,2118,4030,06D076/003,0,0,24,,,24,,
5400,โฉนด,60047,2119,4029,06D076/004,0,0,24,,24,,,
5401,โฉนด,60046,2122,4028,06D076/005,0,0,24.1,,,24.1,,
5402,โฉนด,50737,2123,3931,06D077/001,0,0,24,,,24,,
5403,โฉนด,50738,2124,3932,06D077/002,0,0,22.2,,,22.2,,
5404,โฉนด,50739,2125,3933,06D077/003,0,0,37.6,,,37.6,,
5405,โฉนด,50740,2128,3934,06D077/004,0,0,24,,,24,,
5406,โฉนด,50741,2129,3935,06D077/005,0,0,24,,,24,,
5407,โฉนด,7953,2131,2227,06D078,0,0,12,,,12,,
5408,โฉนด,50736,2132,3930,06D078/001,0,0,23.9,,,23.9,,
5409,โฉนด,50735,2133,3929,06D078/002,0,0,24,,,24,,
5410,โฉนด,50734,2134,3928,06D078/003,0,0,24,,,24,,
5411,โฉนด,50733,2137,3927,06D078/004,0,0,23.9,,,23.9,,
5412,โฉนด,50732,2138,3926,06D078/005,0,0,24,,,24,,
5413,โฉนด,50731,2139,3925,06D078/006,0,0,24,,,24,,
5414,โฉนด,50730,2140,3924,06D078/007,0,0,23.9,,23.9,,,
5415,โฉนด,7952,2141,2226,06D079,0,0,28.1,,28.1,,,
5416,โฉนด,63166,60,4138,06D079/001,0,0,24,,24,,,
5417,โฉนด,63165,59,4137,06D079/002,0,0,24.4,,24.4,,,
