ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
900,โฉนด,11225,853,2655.0,2E0134,0.0,1.0,20.9,-,-,-,120.9,-,ว่างเปล่า/ไม่ทำประโยชน์
903,โฉนด,11228,856,2658.0,2E0137,0.0,1.0,24.7,-,-,-,124.7,-,ว่างเปล่า/ไม่ทำประโยชน์
904,โฉนด,11229,857,2659.0,2E0138,0.0,1.0,26.4,-,-,-,126.4,-,ว่างเปล่า/ไม่ทำประโยชน์
905,โฉนด,11230,858,2660.0,2E0139,0.0,1.0,28.2,-,-,-,128.2,-,ว่างเปล่า/ไม่ทำประโยชน์
906,โฉนด,11231,859,2661.0,2E0140,0.0,1.0,28.8,-,-,-,128.8,-,ว่างเปล่า/ไม่ทำประโยชน์
909,โฉนด,11282,941,2712.0,2E0143,0.0,1.0,16.0,-,-,-,116.0,-,ว่างเปล่า/ไม่ทำประโยชน์
910,โฉนด,11283,940,2713.0,2E0144,0.0,1.0,17.1,-,-,-,117.1,-,ว่างเปล่า/ไม่ทำประโยชน์
911,โฉนด,11284,939,2714.0,2E0145,0.0,1.0,18.2,-,-,-,118.2,-,ว่างเปล่า/ไม่ทำประโยชน์
912,โฉนด,11285,938,2715.0,2E0146,0.0,2.0,86.4,-,-,-,286.4,-,ว่างเปล่า/ไม่ทำประโยชน์
913,โฉนด,142555,994,6477.0,02E146/001,0.0,2.0,-,-,-,-,200.0,-,ว่างเปล่า/ไม่ทำประโยชน์
926,โฉนด,11294,946,2724.0,2E0155,0.0,1.0,18.1,-,-,-,118.1,-,ว่างเปล่า/ไม่ทำประโยชน์
927,โฉนด,11295,947,2725.0,2E0156,0.0,1.0,19.4,-,-,-,119.4,-,ว่างเปล่า/ไม่ทำประโยชน์
928,โฉนด,11296,948,2726.0,2E0157,0.0,1.0,20.8,-,-,-,120.8,-,ว่างเปล่า/ไม่ทำประโยชน์
929,โฉนด,11297,949,2727.0,2E0158,0.0,1.0,22.2,-,-,-,122.2,-,ว่างเปล่า/ไม่ทำประโยชน์
930,โฉนด,11298,950,2728.0,2E0159,0.0,1.0,23.6,-,-,-,123.6,-,ว่างเปล่า/ไม่ทำประโยชน์
935,โฉนด,11079,620,2562.0,2E0163,1.0,3.0,30.9,-,-,-,730.9,-,ว่างเปล่า/ไม่ทำประโยชน์
937,โฉนด,132815,698,5849.0,02E163/002,0.0,1.0,38.2,-,-,-,138.2,-,ว่างเปล่า/ไม่ทำประโยชน์
