ที่,ประเภทที่ดิน,เลขที่เอกสารสิทธิ์,เลขที่ดิน,หน้าสำรวจ,รหัสแปลงที่ดิน,ไร่,งาน,ตร.ว.,ประกอบเกษตรกรรม (ตร.ว.),อยู่อาศัย (ตร.ว.),อื่น ๆ (ตร.ว.),ว่างเปล่า/ไม่ทำประโยชน์ (ตร.ว.),ใช้ประโยชน์หลากหลาย (ตร.ว.),ลักษณะการทำประโยชน์
1632,โฉนด,2730,966,1878.0,03B021,4.0,0.0,2.0,-,-,-,1602.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1633,โฉนด,100835,13,5002.0,03B021/001,0.0,0.0,67.4,-,-,-,67.4,-,ว่างเปล่า/ไม่ทำประโยชน์
1634,โฉนด,100836,14,4968.0,03B021/002,3.0,1.0,1.6,-,-,-,1301.6,-,ว่างเปล่า/ไม่ทำประโยชน์
1637,โฉนด,2530,1068,1835.0,03C003,0.0,1.0,97.5,-,-,-,197.5,-,ว่างเปล่า/ไม่ทำประโยชน์
1638,โฉนด,75593,14,4497.0,03C003/001,0.0,3.0,72.2,-,-,-,372.2,-,ว่างเปล่า/ไม่ทำประโยชน์
1639,โฉนด,75592,13,4496.0,03C003/002,1.0,0.0,1.0,-,-,-,401.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1640,โฉนด,75591,12,4495.0,03C003/003,1.0,0.0,1.0,-,-,-,401.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1641,โฉนด,75590,11,4494.0,03C003/004,1.0,0.0,1.0,-,-,-,401.0,-,ว่างเปล่า/ไม่ทำประโยชน์
1642,โฉนด,75589,10,4493.0,03C003/005,0.0,1.0,58.9,-,-,-,158.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1643,โฉนด,1671,1070,1598.0,03C004,0.0,1.0,57.9,-,-,-,157.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1644,โฉนด,80949,4,4560.0,03C004/001,2.0,2.0,90.9,-,-,-,1090.9,-,ว่างเปล่า/ไม่ทำประโยชน์
1645,โฉนด,80950,21,4561.0,03C004/002,1.0,0.0,-,-,-,-,400.0,-,ว่างเปล่า/ไม่ทำประโยชน์
